SIZE (triệu record),Time (s),Max SIZE (KB),Max RSS (KB),VSIZE (KB),DISK (KB),CPU Temp (°C)
250,1.56,340,4300,2380,0,58
500,1.52,340,4308,2380,0,58
750,1.55,340,4312,2380,0,59
1000,1.48,340,4444,2380,0,72
1250,1.87,340,4132,2380,0,79
1500,1.31,340,4248,2380,0,61
1750,1.38,340,4176,2380,0,68
2000,1.54,340,4296,2380,0,88
