SIZE (triệu record),Time (s),Max SIZE (KB),Max RSS (KB),VSIZE (KB),DISK (KB),CPU Temp (°C)
250,97.7,3408,6876,9280,492556,69
500,117.63,2904,6560,8776,492764,75
750,138.95,2836,6492,8708,492436,72
1000,137.77,2836,6524,8708,492776,70
1250,139.36,2704,6436,8576,492824,61
1500,140.21,2708,6408,8480,492744,72
1750,131.22,2688,6424,8560,492516,65
2000,121.11,2708,6388,8580,492172,57
