SIZE (triệu record),Time (s),Max SIZE (KB),Max RSS (KB),VSIZE (KB),DISK (KB),CPU Temp (°C)
250,0.11,628,4344,6500,0,73
500,0.13,628,4392,6500,0,68
750,0.08,628,4420,6500,0,72
1000,0.25,628,4300,6500,0,87
1250,0.12,628,4200,6500,0,90
1500,0.13,628,4292,6500,0,61
1750,0.12,628,4364,6500,0,85
2000,0.18,628,4224,6500,0,92
