radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

dell_smm-virtual-0
Adapter: Virtual device
fan1:        2690 RPM

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.88 V  
curr1:       1000.00 uA 

coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +46.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +46.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +46.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +46.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +45.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +46.0°C  

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%CPU %MEM     ELAPSED
 0.0  0.5       00:00
 247  3.3       00:01
 311  5.3       00:02
 261  7.0       00:03
 217  7.0       00:04
 260  7.0       00:05
 215  7.0       00:07
 193  7.0       00:08
 208  7.0       00:09
 218  7.0       00:10
 209  7.0       00:11
 222  7.0       00:12
 227  7.0       00:13
 204  7.0       00:15
 216  7.0       00:16
 219  7.0       00:17
 213  7.0       00:18
 226  7.0       00:19
 225  7.0       00:20
 220  7.0       00:21
 220  7.0       00:23
 219  7.0       00:24
 213  7.0       00:25
 223  7.0       00:26
 223  7.0       00:27
 219  7.0       00:28
 226  7.0       00:29
 218  7.0       00:31
 215  7.0       00:32
 222  7.0       00:33
 221  7.0       00:34
 219  7.0       00:35
 225  7.0       00:36
 224  7.0       00:37
 222  7.0       00:38
 221  7.0       00:40
 220  7.0       00:41
 220  7.0       00:42
 223  7.0       00:43
 222  7.0       00:44
 223  7.0       00:45
 226  7.0       00:46
 219  7.0       00:48
 221  7.0       00:49
 223  7.0       00:50
 221  7.0       00:51
 224  7.0       00:52
 225  7.0       00:53
 223  7.0       00:54
 222  7.0       00:56
 223  7.0       00:57
 221  7.0       00:58
 225  7.0       00:59
 225  7.0       01:00
 222  7.0       01:01
 223  7.0       01:03
 222  7.0       01:04
 221  7.0       01:05
 224  7.0       01:06
 224  7.0       01:07
 223  7.0       01:08
 226  7.0       01:09
 225  7.0       01:10
 222  7.0       01:12
 224  7.0       01:13
 223  7.0       01:14
 224  7.0       01:15
 225  7.0       01:16
 224  7.0       01:17
 226  7.0       01:18
 224  7.0       01:20
 222  7.0       01:21
 225  7.0       01:22
 225  7.0       01:23
 224  7.0       01:24
 226  7.0       01:25
 226  7.0       01:26
 222  7.0       01:28
 225  7.0       01:29
 224  7.0       01:30
 224  7.0       01:31
 226  7.0       01:32
 225  7.0       01:33
 225  7.0       01:34
 225  7.0       01:36
 224  7.0       01:37
 223  7.0       01:38
 225  7.0       01:39
 225  7.0       01:40
 225  7.0       01:41
 226  7.0       01:42
 223  7.0       01:44
 224  7.0       01:45
 225  7.0       01:46
 224  7.0       01:47
 225  7.0       01:48
 226  7.0       01:49
 223  7.0       01:51
 225  7.0       01:52
 225  7.0       01:53
 224  7.0       01:54
 225  7.0       01:55
 225  7.0       01:56
 224  7.0       01:57
 225  7.0       01:59
 224  7.0       02:00
 224  7.0       02:01
 226  7.0       02:02
 225  7.0       02:03
 225  7.0       02:04
 226  7.0       02:05
 226  7.0       02:06
 223  7.0       02:08
 225  7.0       02:09
 224  7.0       02:10
 224  7.0       02:11
 225  7.0       02:12
 225  7.0       02:13
 225  7.0       02:14
 226  7.0       02:15
 224  7.0       02:17
 224  7.0       02:18
 225  7.0       02:19
 225  7.0       02:20
 225  7.0       02:21
 226  7.0       02:22
 225  7.0       02:23
 224  7.0       02:25
 225  7.0       02:26
 224  7.0       02:27
 225  7.0       02:28
 226  7.0       02:29
 225  7.0       02:30
 225  7.0       02:32
 225  7.0       02:33
 224  7.0       02:34
 225  7.0       02:35
 225  7.0       02:36
 225  7.0       02:37
 226  7.0       02:38
 226  7.0       02:39
 224  7.0       02:41
 225  7.0       02:42
 225  7.0       02:43
 225  7.0       02:44
 226  7.0       02:45
 226  7.0       02:46
 226  7.0       02:47
 227  7.0       02:48
 225  7.0       02:50
 225  7.0       02:51
 226  7.0       02:52
 225  7.0       02:53
 226  7.0       02:54
 226  7.0       02:55
 226  7.0       02:56
 225  7.0       02:58
 226  7.0       02:59
 225  7.0       03:00
 226  7.0       03:01
 226  7.0       03:02
 225  7.0       03:03
 225  7.0       03:05
 225  7.0       03:06
 225  7.0       03:07
 225  7.0       03:08
 225  7.0       03:09
 225  7.0       03:10
 225  7.0       03:11
 225  7.0       03:13
 224  7.0       03:14
 225  7.0       03:15
 225  7.0       03:16
 225  7.0       03:17
 226  7.0       03:18
 226  7.0       03:19
 224  7.0       03:21
 225  7.0       03:22
 225  7.0       03:23
 224  7.0       03:24
 225  7.0       03:25
 225  7.0       03:26
 224  7.0       03:27
 224  7.0       03:29
 224  7.0       03:30
 224  7.0       03:31
 225  7.0       03:32
 225  7.0       03:33
 224  7.0       03:34
 224  7.0       03:36
 224  7.0       03:37
 223  7.0       03:38
 225  7.0       03:39
 225  7.0       03:40
 224  7.0       03:41
 225  7.0       03:42
 224  7.0       03:44
 223  7.0       03:45
 225  7.0       03:46
 224  7.0       03:47
 224  7.0       03:48
 225  7.0       03:49
 225  7.0       03:50
 223  7.0       03:52
 224  7.0       03:53
 224  7.0       03:54
 224  7.0       03:55
 225  7.0       03:56
 225  7.0       03:57
 224  7.0       03:59
 224  7.0       04:00
 224  7.0       04:01
 224  7.0       04:02
 225  7.0       04:03
 224  7.0       04:04
 224  7.0       04:05
 225  7.0       04:06
 224  7.0       04:08
 224  7.0       04:09
 225  7.0       04:10
 224  7.0       04:11
 225  7.0       04:12
 225  7.0       04:13
 224  7.0       04:14
 224  7.0       04:16
 224  7.0       04:17
 224  7.0       04:18
 225  7.0       04:19
 225  7.0       04:20
 225  7.0       04:21
 225  7.0       04:22
 225  7.0       04:24
 224  7.0       04:25
 225  7.0       04:26
 225  7.0       04:27
 225  7.0       04:28
 226  7.0       04:29
 225  7.0       04:30
 224  7.0       04:32
 225  7.0       04:33
 225  7.0       04:34
 225  7.0       04:35
 225  7.0       04:36
 225  7.0       04:37
 225  7.0       04:38
 226  7.0       04:39
 225  7.0       04:41
 224  7.0       04:42
 225  7.0       04:43
 225  7.0       04:44
 225  7.0       04:45
 225  7.0       04:46
 225  7.0       04:47
 225  7.0       04:48
 225  7.0       04:50
 225  7.0       04:51
 224  7.0       04:52
 225  7.0       04:53
 225  7.0       04:54
 225  7.0       04:55
