radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

dell_smm-virtual-0
Adapter: Virtual device
fan1:        2670 RPM

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.88 V  
curr1:       1000.00 uA 

coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +46.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +46.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +46.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +46.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +45.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +46.0°C  

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%CPU %MEM     ELAPSED
 0.0  0.5       00:00
75.0  4.7       00:01
 258  5.6       00:02
 312  7.1       00:03
 291 10.0       00:04
 263 11.4       00:05
 194 11.5       00:07
 202 11.5       00:08
 230 11.5       00:09
 238 11.5       00:10
 235 11.5       00:11
 222 11.5       00:12
 217 11.5       00:13
 235 11.5       00:14
 229 11.5       00:16
 227 11.5       00:17
 222 11.5       00:18
 222 11.5       00:19
 233 11.5       00:20
 239 11.5       00:21
 237 11.5       00:22
 222 11.5       00:24
 219 11.5       00:25
 229 11.5       00:26
 234 11.5       00:27
 233 11.5       00:28
 229 11.5       00:29
 227 11.5       00:30
 228 11.5       00:32
 233 11.5       00:33
 232 11.5       00:34
 228 11.5       00:35
 228 11.5       00:36
 234 11.5       00:37
 231 11.5       00:39
 230 11.5       00:40
 228 11.5       00:41
 227 11.5       00:42
 233 11.5       00:43
 236 11.5       00:44
 235 11.5       00:45
 227 11.5       00:47
 226 11.5       00:48
 230 11.5       00:49
 233 11.5       00:50
 233 11.5       00:51
 231 11.5       00:52
 227 11.5       00:53
 227 11.5       00:55
 230 11.5       00:56
 231 11.5       00:57
 229 11.5       00:58
 226 11.5       00:59
 229 11.5       01:00
 233 11.5       01:01
 233 11.5       01:02
 228 11.5       01:04
 225 11.5       01:05
 228 11.5       01:06
 232 11.5       01:07
 232 11.5       01:08
 231 11.5       01:09
 228 11.5       01:10
 228 11.5       01:12
 231 11.5       01:13
 231 11.5       01:14
 230 11.5       01:15
 228 11.5       01:16
 230 11.5       01:17
 233 11.5       01:18
 232 11.5       01:19
 228 11.5       01:21
 227 11.5       01:22
 229 11.5       01:23
 231 11.5       01:24
 231 11.5       01:25
 230 11.5       01:26
 228 11.5       01:27
 231 11.5       01:28
 230 11.5       01:30
 230 11.5       01:31
 229 11.5       01:32
 227 11.5       01:33
 230 11.5       01:34
 232 11.5       01:35
 232 11.5       01:36
 231 11.5       01:37
 227 11.5       01:39
 229 11.5       01:40
 231 11.5       01:41
 231 11.5       01:42
 231 11.5       01:43
 229 11.5       01:44
 229 11.5       01:46
 231 11.5       01:47
 231 11.5       01:48
 230 11.5       01:49
 229 11.5       01:50
 231 11.5       01:51
 230 11.5       01:53
 230 11.5       01:54
 230 11.5       01:55
 228 11.5       01:56
 230 11.5       01:57
 232 11.5       01:58
 232 11.5       01:59
 229 11.5       02:01
 228 11.5       02:02
 230 11.5       02:03
 232 11.5       02:04
 232 11.5       02:05
 231 11.5       02:06
 228 11.5       02:08
 230 11.5       02:09
 231 11.5       02:10
 231 11.5       02:11
 230 11.5       02:12
 229 11.5       02:13
 230 11.5       02:14
 230 11.5       02:16
 230 11.5       02:17
 230 11.5       02:18
 229 11.5       02:19
 230 11.5       02:20
 232 11.5       02:21
 230 11.5       02:23
 230 11.5       02:24
 229 11.5       02:25
 230 11.5       02:26
 231 11.5       02:27
 231 11.5       02:28
 229 11.5       02:30
 228 11.5       02:31
 229 11.5       02:32
 231 11.5       02:33
 231 11.5       02:34
 230 11.5       02:35
 229 11.5       02:36
 229 11.5       02:38
 230 11.5       02:39
 230 11.5       02:40
 230 11.5       02:41
 228 11.5       02:42
 230 11.5       02:43
 231 11.5       02:44
 231 11.5       02:45
 229 11.5       02:47
 228 11.5       02:48
 230 11.5       02:49
 231 11.5       02:50
 231 11.5       02:51
 230 11.5       02:52
 229 11.5       02:53
 231 11.5       02:54
 230 11.5       02:56
 230 11.5       02:57
 230 11.5       02:58
 229 11.5       02:59
 230 11.5       03:00
 231 11.5       03:01
 231 11.5       03:02
 231 11.5       03:03
 229 11.5       03:05
 230 11.5       03:06
 231 11.5       03:07
 231 11.5       03:08
 231 11.5       03:09
 230 11.5       03:10
 231 11.5       03:11
 231 11.5       03:13
 231 11.5       03:14
 230 11.5       03:15
 229 11.5       03:16
 229 11.5       03:17
 230 11.5       03:18
 231 11.5       03:19
 230 11.5       03:21
 229 11.5       03:22
 229 11.5       03:23
 230 11.5       03:24
 231 11.5       03:25
 231 11.5       03:26
 230 11.5       03:27
 229 11.5       03:29
 230 11.5       03:30
 231 11.5       03:31
 230 11.5       03:32
 230 11.5       03:33
 230 11.5       03:34
 231 11.5       03:35
 230 11.5       03:37
 230 11.5       03:38
 230 11.5       03:39
 229 11.5       03:40
 231 11.5       03:41
 232 11.5       03:42
 231 11.5       03:44
 230 11.5       03:45
 230 11.5       03:46
 230 11.5       03:47
 231 11.5       03:48
 231 11.5       03:49
 231 11.5       03:50
 230 11.5       03:51
 230 11.5       03:53
 231 11.5       03:54
 231 11.5       03:55
 231 11.5       03:56
 230 11.5       03:57
 231 11.5       03:58
 231 11.5       03:59
 231 11.5       04:01
 231 11.5       04:02
 230 11.5       04:03
 230 11.5       04:04
 231 11.5       04:05
 231 11.5       04:06
 231 11.5       04:07
 231 11.5       04:08
 230 11.5       04:10
 231 11.5       04:11
 231 11.5       04:12
 231 11.5       04:13
 231 11.5       04:14
 230 11.5       04:15
 231 11.5       04:16
 231 11.5       04:18
 231 11.5       04:19
 231 11.5       04:20
 230 11.5       04:21
 231 11.5       04:22
 231 11.5       04:23
 231 11.5       04:24
 231 11.5       04:25
 231 11.5       04:26
 231 11.5       04:28
 231 11.5       04:29
 231 11.5       04:30
 231 11.5       04:31
 230 11.5       04:32
 231 11.5       04:33
 232 11.5       04:34
 232 11.5       04:35
 230 11.5       04:37
 230 11.5       04:38
 231 11.5       04:39
 231 11.5       04:40
 231 11.5       04:41
 231 11.5       04:42
 231 11.5       04:43
 231 11.5       04:44
 232 11.5       04:45
 231 11.5       04:47
 231 11.5       04:48
 230 11.5       04:49
 231 11.5       04:50
 232 11.5       04:51
 232 11.5       04:52
 232 11.5       04:53
 230 11.5       04:55
