radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

dell_smm-virtual-0
Adapter: Virtual device
fan1:        2705 RPM

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.88 V  
curr1:       1000.00 uA 

coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +45.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +44.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +44.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +45.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +45.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +43.0°C  

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%CPU %MEM     ELAPSED
 0.0  0.4       00:00
85.0  4.5       00:01
 270  5.4       00:02
 315  7.2       00:03
 230  9.6       00:05
 214 10.9       00:06
 187 10.9       00:07
 220 10.9       00:08
 241 10.9       00:09
 239 10.9       00:10
 210 10.9       00:12
 197 10.9       00:13
 215 10.9       00:14
 225 10.9       00:15
 225 10.9       00:16
 219 10.9       00:17
 219 10.9       00:18
 220 10.9       00:20
 224 10.9       00:21
 222 10.9       00:22
 216 10.9       00:23
 220 10.9       00:24
 231 10.9       00:25
 232 10.9       00:26
 221 10.9       00:28
 215 10.9       00:29
 218 10.9       00:30
 226 10.9       00:31
 227 10.9       00:32
 226 10.9       00:33
 221 10.9       00:34
 221 10.9       00:36
 226 10.9       00:37
 226 10.9       00:38
 224 10.9       00:39
 221 10.9       00:40
 227 10.9       00:41
 230 10.9       00:42
 230 10.9       00:43
 222 10.9       00:45
 222 10.9       00:46
 227 10.9       00:47
 229 10.9       00:48
 228 10.9       00:49
 225 10.9       00:50
 228 10.9       00:51
 228 10.9       00:53
 228 10.9       00:54
 227 10.9       00:55
 224 10.9       00:56
 228 10.9       00:57
 231 10.9       00:58
 230 10.9       00:59
 224 10.9       01:01
 224 10.9       01:02
 228 10.9       01:03
 229 10.9       01:04
 229 10.9       01:05
 227 10.9       01:06
 225 10.9       01:08
 229 10.9       01:09
 229 10.9       01:10
 228 10.9       01:11
 226 10.9       01:12
 229 10.9       01:13
 231 10.9       01:14
 231 10.9       01:15
 227 10.9       01:17
 227 10.9       01:18
 230 10.9       01:19
 231 10.9       01:20
 230 10.9       01:21
 228 10.9       01:22
 228 10.9       01:24
 231 10.9       01:25
 231 10.9       01:26
 230 10.9       01:27
 228 10.9       01:28
 230 10.9       01:29
 232 10.9       01:30
 229 10.9       01:32
 228 10.9       01:33
 228 10.9       01:34
 230 10.9       01:35
 231 10.9       01:36
 231 10.9       01:37
 229 10.9       01:38
 228 10.9       01:40
 231 10.9       01:41
 231 10.9       01:42
 230 10.9       01:43
 228 10.9       01:44
 230 10.9       01:45
 230 10.9       01:47
 230 10.9       01:48
 229 10.9       01:49
 229 10.9       01:50
 231 10.9       01:51
 232 10.9       01:52
 231 10.9       01:53
 230 10.9       01:54
 229 10.9       01:56
 231 10.9       01:57
 231 10.9       01:58
 231 10.9       01:59
 229 10.9       02:00
 231 10.9       02:01
 231 10.9       02:03
 231 10.9       02:04
 230 10.9       02:05
 229 10.9       02:06
 231 10.9       02:07
 232 10.9       02:08
 232 10.9       02:09
 229 10.9       02:11
 228 10.9       02:12
 230 10.9       02:13
 231 10.9       02:14
 231 10.9       02:15
 230 10.9       02:16
 230 10.9       02:17
 230 10.9       02:19
 231 10.9       02:20
 230 10.9       02:21
 229 10.9       02:22
 231 10.9       02:23
 232 10.9       02:24
 232 10.9       02:25
 230 10.9       02:27
 229 10.9       02:28
 230 10.9       02:29
 231 10.9       02:30
 231 10.9       02:31
 231 10.9       02:32
 229 10.9       02:34
 230 10.9       02:35
 231 10.9       02:36
 231 10.9       02:37
 230 10.9       02:38
 230 10.9       02:39
 232 10.9       02:40
 231 10.9       02:42
 230 10.9       02:43
 229 10.9       02:44
 231 10.9       02:45
 232 10.9       02:46
 232 10.9       02:47
 231 10.9       02:48
 230 10.9       02:50
 231 10.9       02:51
 232 10.9       02:52
 231 10.9       02:53
 230 10.9       02:54
 232 10.9       02:55
 233 10.9       02:56
 231 10.9       02:58
 231 10.9       02:59
 230 10.9       03:00
 231 10.9       03:01
 232 10.9       03:02
 232 10.9       03:03
 231 10.9       03:04
 231 10.9       03:05
 231 10.9       03:07
 232 10.9       03:08
 231 10.9       03:09
 231 10.9       03:10
 231 10.9       03:11
 232 10.9       03:12
 232 10.9       03:13
 232 10.9       03:14
 230 10.9       03:16
 230 10.9       03:17
 231 10.9       03:18
 231 10.9       03:19
 231 10.9       03:20
 230 10.9       03:21
 230 10.9       03:23
 231 10.9       03:24
 232 10.9       03:25
 231 10.9       03:26
 231 10.9       03:27
 231 10.9       03:28
 232 10.9       03:29
 231 10.9       03:31
 231 10.9       03:32
 230 10.9       03:33
 230 10.9       03:34
 232 10.9       03:35
 232 10.9       03:36
 231 10.9       03:37
 230 10.9       03:39
 231 10.9       03:40
 231 10.9       03:41
 231 10.9       03:42
 231 10.9       03:43
 230 10.9       03:44
 231 10.9       03:45
 231 10.9       03:47
 231 10.9       03:48
 230 10.9       03:49
 230 10.9       03:50
 231 10.9       03:51
 231 10.9       03:52
 231 10.9       03:53
 230 10.9       03:55
 230 10.9       03:56
 231 10.9       03:57
 231 10.9       03:58
 231 10.9       03:59
 230 10.9       04:00
 230 10.9       04:02
 231 10.9       04:03
 231 10.9       04:04
 231 10.9       04:05
 230 10.9       04:06
 231 10.9       04:07
 231 10.9       04:08
 231 10.9       04:09
 230 10.9       04:11
 230 10.9       04:12
 231 10.9       04:13
 231 10.9       04:14
 231 10.9       04:15
 230 10.9       04:16
 230 10.9       04:17
 230 10.9       04:19
 231 10.9       04:20
 231 10.9       04:21
 231 10.9       04:22
 230 10.9       04:23
 231 10.9       04:24
 232 10.9       04:25
 231 10.9       04:27
 230 10.9       04:28
 230 10.9       04:29
 231 10.9       04:30
 231 10.9       04:31
 231 10.9       04:32
 231 10.9       04:33
 231 10.9       04:35
 231 10.9       04:36
 231 10.9       04:37
 231 10.9       04:38
 231 10.9       04:39
 231 10.9       04:40
 232 10.9       04:41
 232 10.9       04:42
 230 10.9       04:44
 231 10.9       04:45
 231 10.9       04:46
 232 10.9       04:47
 231 10.9       04:48
 231 10.9       04:49
 231 10.9       04:51
 231 10.9       04:52
 231 10.9       04:53
 231 10.9       04:54
 231 10.9       04:55
 232 10.9       04:56
