radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

dell_smm-virtual-0
Adapter: Virtual device
fan1:        2669 RPM

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.89 V  
curr1:       1000.00 uA 

coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +46.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +45.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +45.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +45.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +46.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +43.0°C  

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%CPU %MEM     ELAPSED
 0.0  0.6       00:00
 368  2.8       00:01
 291  5.0       00:02
 289  5.1       00:03
 283  5.1       00:04
 226  5.1       00:06
 235  5.1       00:07
 216  5.1       00:08
 236  5.1       00:09
 222  5.1       00:10
 234  5.1       00:11
 211  5.1       00:13
 222  5.1       00:14
 218  5.1       00:15
 227  5.1       00:16
 223  5.1       00:17
 231  5.1       00:18
 216  5.1       00:20
 223  5.1       00:21
 219  5.1       00:22
 226  5.1       00:23
 223  5.1       00:24
 228  5.1       00:25
 217  5.1       00:27
 222  5.1       00:28
 220  5.1       00:29
 225  5.1       00:30
 223  5.1       00:31
 227  5.1       00:32
 219  5.1       00:34
 221  5.1       00:35
 221  5.1       00:36
 221  5.1       00:37
 222  5.1       00:38
 223  5.1       00:39
 223  5.1       00:40
 221  5.1       00:41
 219  5.1       00:43
 217  5.1       00:44
 220  5.1       00:45
 218  5.1       00:46
 221  5.1       00:47
 219  5.1       00:48
 222  5.1       00:49
 221  5.1       00:50
 219  5.1       00:52
 217  5.1       00:53
 220  5.1       00:54
 218  5.1       00:55
 221  5.1       00:56
 220  5.1       00:57
 223  5.1       00:58
 217  5.1       01:00
 220  5.1       01:01
 218  5.1       01:02
 221  5.1       01:03
 219  5.1       01:04
 222  5.1       01:05
 220  5.1       01:06
 220  5.1       01:08
 218  5.1       01:09
 221  5.1       01:10
 219  5.1       01:11
 221  5.1       01:12
 220  5.1       01:13
 222  5.1       01:14
 221  5.1       01:15
 220  5.1       01:17
 219  5.1       01:18
 221  5.1       01:19
 219  5.1       01:20
 221  5.1       01:21
 220  5.1       01:22
 222  5.1       01:23
 218  5.1       01:25
 220  5.1       01:26
 219  5.1       01:27
 221  5.1       01:28
 220  5.1       01:29
 222  5.1       01:30
 218  5.1       01:32
 220  5.1       01:33
 219  5.1       01:34
 221  5.1       01:35
 220  5.1       01:36
 221  5.1       01:37
 220  5.1       01:38
 222  5.1       01:39
 219  5.1       01:41
 220  5.1       01:42
 219  5.1       01:43
 221  5.1       01:44
 220  5.1       01:45
 221  5.1       01:46
 220  5.1       01:47
 222  5.1       01:48
 219  5.1       01:50
 220  5.1       01:51
 219  5.1       01:52
 221  5.1       01:53
 220  5.1       01:54
 221  5.1       01:55
 220  5.1       01:56
 220  5.1       01:58
 219  5.1       01:59
 220  5.1       02:00
 220  5.1       02:01
 221  5.1       02:02
 220  5.1       02:03
 221  5.1       02:04
 219  5.1       02:06
 220  5.1       02:07
 219  5.1       02:08
 221  5.1       02:09
 220  5.1       02:10
 221  5.1       02:11
 221  5.1       02:12
 220  5.1       02:14
 220  5.1       02:15
 221  5.1       02:16
 220  5.1       02:17
 221  5.1       02:18
 219  5.1       02:20
 220  5.1       02:21
 220  5.1       02:22
 221  5.1       02:23
 220  5.1       02:24
 221  5.1       02:25
 219  5.1       02:27
 220  5.1       02:28
 220  5.1       02:29
 221  5.1       02:30
 220  5.1       02:31
 221  5.1       02:32
 220  5.1       02:33
 220  5.1       02:35
 219  5.1       02:36
 220  5.1       02:37
 220  5.1       02:38
 221  5.1       02:39
 220  5.1       02:40
 221  5.1       02:41
 219  5.1       02:43
 220  5.1       02:44
 220  5.1       02:45
 221  5.1       02:46
 220  5.1       02:47
 221  5.1       02:48
 219  5.1       02:50
 220  5.1       02:51
 220  5.1       02:52
 221  5.1       02:53
 220  5.1       02:54
 221  5.1       02:55
 220  5.1       02:56
 220  5.1       02:58
 220  5.1       02:59
 220  5.1       03:00
 220  5.1       03:01
 220  5.1       03:02
 220  5.1       03:03
 220  5.1       03:04
 219  5.1       03:06
 220  5.1       03:07
 220  5.1       03:08
 220  5.1       03:09
 220  5.1       03:10
 220  5.1       03:11
 221  5.1       03:12
 220  5.1       03:14
 220  5.1       03:15
 220  5.1       03:16
 220  5.1       03:17
 220  5.1       03:18
 221  5.1       03:19
 220  5.1       03:20
 220  5.1       03:22
 219  5.1       03:23
 220  5.1       03:24
 219  5.1       03:25
 220  5.1       03:26
 220  5.1       03:27
 220  5.1       03:28
 219  5.1       03:30
 220  5.1       03:31
 219  5.1       03:32
 220  5.1       03:33
 220  5.1       03:34
 220  5.1       03:35
 220  5.1       03:36
 221  5.1       03:37
 219  5.1       03:39
 220  5.1       03:40
 219  5.1       03:41
 220  5.1       03:42
 220  5.1       03:43
 220  5.1       03:44
 220  5.1       03:45
 220  5.1       03:47
 219  5.1       03:48
 220  5.1       03:49
 220  5.1       03:50
 220  5.1       03:51
 219  5.1       03:53
 220  5.1       03:54
 219  5.1       03:55
 220  5.1       03:56
 220  5.1       03:57
 220  5.1       03:58
 220  5.1       03:59
 220  5.1       04:01
 219  5.1       04:02
 220  5.1       04:03
 219  5.1       04:04
 220  5.1       04:05
 220  5.1       04:06
 220  5.1       04:07
 220  5.1       04:08
 220  5.1       04:10
 219  5.1       04:11
 220  5.1       04:12
 220  5.1       04:13
 220  5.1       04:14
 220  5.1       04:15
 220  5.1       04:16
 219  5.1       04:18
 220  5.1       04:19
 219  5.1       04:20
 220  5.1       04:21
 220  5.1       04:22
 220  5.1       04:23
 219  5.1       04:25
 220  5.1       04:26
 219  5.1       04:27
 220  5.1       04:28
 220  5.1       04:29
 220  5.1       04:30
 219  5.1       04:32
 220  5.1       04:33
 219  5.1       04:34
 220  5.1       04:35
 220  5.1       04:36
 220  5.1       04:37
 219  5.1       04:39
 220  5.1       04:40
 220  5.1       04:41
 220  5.1       04:42
 220  5.1       04:43
 220  5.1       04:44
 219  5.1       04:46
 220  5.1       04:47
 220  5.1       04:48
 220  5.1       04:49
 219  5.1       04:51
 220  5.1       04:52
 219  5.1       04:53
 220  5.1       04:54
 219  5.1       04:55
 219  5.1       04:56
 219  5.1       04:57
