radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

dell_smm-virtual-0
Adapter: Virtual device
fan1:        2684 RPM

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.87 V  
curr1:       1000.00 uA 

coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +48.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +47.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +47.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +48.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +47.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +45.0°C  

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%CPU %MEM     ELAPSED
 0.0  0.4       00:00
 380  1.2       00:01
 236  1.2       00:03
 263  1.2       00:04
 278  1.2       00:05
 289  1.2       00:06
 294  1.2       00:07
 295  1.2       00:08
 297  1.2       00:09
 298  1.2       00:10
 277  1.2       00:12
 279  1.2       00:13
 282  1.2       00:14
 287  1.2       00:15
 288  1.2       00:16
 294  1.2       00:17
 297  1.2       00:18
 298  1.2       00:19
 301  1.2       00:20
 288  1.2       00:22
 289  1.2       00:23
 292  1.2       00:24
 293  1.2       00:25
 298  1.2       00:26
 298  1.2       00:27
 300  1.2       00:28
 301  1.2       00:29
 292  1.2       00:31
 292  1.2       00:32
 293  1.2       00:33
 295  1.2       00:34
 297  1.2       00:35
 297  1.2       00:36
 297  1.2       00:37
 299  1.2       00:38
 299  1.2       00:39
 293  1.2       00:41
 293  1.2       00:42
 292  1.2       00:43
 294  1.2       00:44
 294  1.2       00:45
 295  1.2       00:46
 296  1.2       00:47
 297  1.2       00:48
 291  1.2       00:50
 292  1.2       00:51
 293  1.2       00:52
 293  1.2       00:53
 294  1.2       00:54
 295  1.2       00:55
 297  1.2       00:56
 297  1.2       00:57
 292  1.2       00:59
 294  1.2       01:00
 294  1.2       01:01
 294  1.2       01:02
 295  1.2       01:03
 296  1.2       01:04
 296  1.2       01:05
 293  1.2       01:07
 294  1.2       01:08
 294  1.2       01:09
 294  1.2       01:10
 295  1.2       01:11
 295  1.2       01:12
 294  1.2       01:13
 295  1.2       01:14
 292  1.2       01:16
 293  1.2       01:17
 294  1.2       01:18
 294  1.2       01:19
 294  1.2       01:20
 295  1.2       01:21
 296  1.2       01:22
 296  1.2       01:23
 293  1.2       01:25
 294  1.2       01:26
 293  1.2       01:27
 294  1.2       01:28
 294  1.2       01:29
 295  1.2       01:30
 296  1.2       01:31
 293  1.2       01:33
 293  1.2       01:34
 294  1.2       01:35
 294  1.2       01:36
 294  1.2       01:37
 295  1.2       01:38
 295  1.2       01:39
 295  1.2       01:40
 296  1.2       01:41
 293  1.2       01:43
 294  1.2       01:44
 294  1.2       01:45
 295  1.2       01:46
 295  1.2       01:47
 296  1.2       01:48
 296  1.2       01:49
 294  1.2       01:51
 294  1.2       01:52
 294  1.2       01:53
 295  1.2       01:54
 295  1.2       01:55
 296  1.2       01:56
 296  1.2       01:57
 294  1.2       01:59
 294  1.2       02:00
 295  1.2       02:01
 295  1.2       02:02
 295  1.2       02:03
 296  1.2       02:04
 296  1.2       02:05
 296  1.2       02:06
 297  1.2       02:07
 294  1.2       02:09
 294  1.2       02:10
 294  1.2       02:11
 294  1.2       02:12
 295  1.2       02:13
 295  1.2       02:14
 295  1.2       02:15
 296  1.2       02:16
 296  1.2       02:17
 294  1.2       02:19
 295  1.2       02:20
 295  1.2       02:21
 295  1.2       02:22
 295  1.2       02:23
 294  1.2       02:25
 294  1.2       02:26
 294  1.2       02:27
 295  1.2       02:28
 295  1.2       02:29
 295  1.2       02:30
 295  1.2       02:31
 296  1.2       02:32
 294  1.2       02:34
 294  1.2       02:35
 295  1.2       02:36
 295  1.2       02:37
 295  1.2       02:38
 296  1.2       02:39
 296  1.2       02:40
 294  1.2       02:42
 295  1.2       02:43
 294  1.2       02:44
 295  1.2       02:45
 295  1.2       02:46
 295  1.2       02:47
 295  1.2       02:48
 295  1.2       02:49
 294  1.2       02:51
 294  1.2       02:52
 294  1.2       02:53
 295  1.2       02:54
 295  1.2       02:55
 295  1.2       02:56
 295  1.2       02:57
 296  1.2       02:58
 294  1.2       03:00
 295  1.2       03:01
 295  1.2       03:02
 295  1.2       03:03
 295  1.2       03:04
 295  1.2       03:05
 295  1.2       03:06
 294  1.2       03:08
 294  1.2       03:09
 294  1.2       03:10
 294  1.2       03:11
 294  1.2       03:12
 295  1.2       03:13
 295  1.2       03:14
 295  1.2       03:15
 295  1.2       03:16
 294  1.2       03:18
 293  1.2       03:19
 294  1.2       03:20
 294  1.2       03:21
 294  1.2       03:22
 294  1.2       03:23
 295  1.2       03:24
 295  1.2       03:25
 294  1.2       03:27
 294  1.2       03:28
 293  1.2       03:29
 293  1.2       03:30
 294  1.2       03:31
 294  1.2       03:32
 294  1.2       03:33
 294  1.2       03:34
 294  1.2       03:35
 293  1.2       03:37
 293  1.2       03:38
 294  1.2       03:39
 294  1.2       03:40
 294  1.2       03:41
 294  1.2       03:42
 295  1.2       03:43
 293  1.2       03:45
 293  1.2       03:46
 294  1.2       03:47
 294  1.2       03:48
 294  1.2       03:49
 294  1.2       03:50
 294  1.2       03:51
 293  1.2       03:53
 293  1.2       03:54
 294  1.2       03:55
 293  1.3       03:56
 292  1.3       03:57
 291  1.3       03:58
 291  0.0       03:59
 290  1.3       04:00
 289  1.3       04:01
 288  1.3       04:02
 287  1.3       04:03
 286  1.3       04:04
 284  1.3       04:06
 283  1.3       04:07
 283  1.3       04:08
 282  1.3       04:09
 281  1.3       04:10
 280  1.3       04:11
 279  1.3       04:12
 279  1.3       04:13
 278  1.3       04:14
 277  1.3       04:15
 276  1.3       04:16
 275  1.3       04:17
 275  1.3       04:18
 273  1.3       04:20
 272  1.3       04:21
 271  1.3       04:22
 271  1.3       04:23
 270  1.3       04:24
 269  1.3       04:25
 268  1.3       04:26
 268  1.3       04:27
 267  1.3       04:28
 266  1.3       04:29
 266  1.3       04:30
 265  1.3       04:31
 264  0.0       04:32
 263  1.3       04:34
 262  1.3       04:35
 262  1.3       04:36
 261  1.3       04:37
 260  1.3       04:38
 260  1.3       04:39
 259  1.3       04:40
 259  1.3       04:41
 258  1.3       04:42
 257  1.3       04:43
 257  1.3       04:44
 256  1.3       04:45
 256  1.3       04:46
 254  1.3       04:48
 254  1.3       04:49
 253  1.3       04:50
